Place,Name,Episode 1,Episode 2,Episode 3,Episode 4,Episode 5,Episode 6,Episode 7,Episode 8,Episode 9
TBA,A'keria C. Davenport,TBA,TBA,TBA,,,,,,
TBA,Dawn,TBA,TBA,TBA,,,,,,
TBA,Lucky Starzzz,TBA,TBA,TBA,,,,,,
TBA,Morgan McMichaels,TBA,TBA,TBA,,,,,,
TBA,Morphine Love Dion,TBA,TBA,TBA,,,,,,
TBA,Mystique Summers,TBA,TBA,TBA,,,,,,
TBA,April Carrión,,,,TBA,TBA,TBA,,,
TBA,Aura Mayari,,,,TBA,TBA,TBA,,,
TBA,Crystal Methyd,,,,TBA,TBA,TBA,,,
TBA,Salina EsTitties,,,,TBA,TBA,TBA,,,
TBA,Silky Nutmeg Ganache,,,,TBA,TBA,TBA,,,
TBA,Vivacious,,,,TBA,TBA,TBA,,,
TBA,Hershii LiqCour-Jeté,,,,,,,TBA,TBA,TBA
TBA,Jasmine Kennedie,,,,,,,TBA,TBA,TBA
TBA,Joey Jay,,,,,,,TBA,TBA,TBA
TBA,Kennedy Davenport,,,,,,,TBA,TBA,TBA
TBA,Sam Star,,,,,,,TBA,TBA,TBA
TBA,Shuga Cain,,,,,,,TBA,TBA,TBA