Place,Name,Talent Show,Ball,Snatch Game,Girl Groups,Acting,Stand-up,Makeover
TBA,Gawdland,TOP2,WIN,WIN,HIGH,HIGH,SAFE,LOW
TBA,Kate Butch,HIGH,SAFE,SAFE,WIN,HIGH,WIN,BTM2
TBA,Fontana,WIN,HIGH,BTM2,SAFE,BTM2,HIGH,HIGH
TBA,Mariah Balenciaga,SAFE,HIGH,SAFE,LOW,WIN,BTM2,WIN
5th,The Only Naomy,HIGH,BTM2,HIGH,HIGH,HIGH,LOW,ELIM
6th,Zahirah Zapanta,SAFE,SAFE,SAFE,SAFE,LOW,ELIM,
7th,Serena Morena,SAFE,SAFE,LOW,BTM2,ELIM,,
8th,Sminty Drop,HIGH,SAFE,HIGH,ELIM,,,
9th,Minty Fresh,SAFE,LOW,ELIM,,,,
10th,Melinda Verga,SAFE,ELIM,,,,,