Place,Name,Design,Girl Groups,Acting,Design,Talent Show,Talent Show,Advert,Snatch Game,Rusical,Design,Roast,Makeover,Improv,Improv,Finale
1st,Myki Meeks,SAFE,SAFE,SAFE,SAFE,BYE,BTM2,WIN,HIGH,HIGH,HIGH,HIGH,WIN,WIN,WIN,WINNER
2nd,Nini Coco,WIN,SAFE,SAFE,SAFE,SAFE,BYE,SAFE,WIN,SAFE,HIGH,LOW,BTM2,BTM2,ELIM,RUNNER-UP
3rd,Darlene Mitchell,SAFE,LOW,HIGH,SAFE,SAFE,BYE,HIGH,SAFE,SAFE,HIGH,WIN,HIGH,SAFE,WIN,ELIM FINAL
4th,Juicy Love Dion,LOW,SAFE,WIN,SAFE,WIN,BYE,BTM2,LOW,BTM2,HIGH,BTM2,HIGH,HIGH,BTM2,
5th,Jane Don't,HIGH,WIN,HIGH,HIGH,BYE,TOP2,HIGH,HIGH,WIN,WIN,HIGH,LOW,ELIM,,
6th,Discord Addams,SAFE,SAFE,SAFE,LOW,BYE,SAFE,SAFE,SAFE,LOW,HIGH,LOW,ELIM,,,
7th,Kenya Pleaser,LOW,SAFE,SAFE,BTM2,BYE,SAFE,SAFE,BTM2,HIGH,TOP2,ELIM,,,,
8th,Athena Dion,SAFE,LOW,SAFE,SAFE,BYE,WIN,SAFE,SAFE,ELIM,,,,,,
9th,Mia Starr,SAFE,HIGH,SAFE,SAFE,WIN,BYE,LOW,ELIM,,,,,,,
10th,Vita VonTesse Starr,TOP2,SAFE,LOW,WIN,SAFE,BYE,ELIM,,,,,,,,
11th,Ciara Myst,SAFE,SAFE,SAFE,HIGH,BTM,ELIM,,,,,,,,,
12th,Briar Blush,SAFE,SAFE,BTM2,ELIM,,,,,,,,,,,
13th,Mandy Mango,LOW,BTM2,ELIM,,,,,,,,,,,,
14th,DD Fuego,SAFE,ELIM,,,,,,,,,,,,,